taxon_id	species_name	rank	total_reads	hits_vs_cjejuni	hit_rate_%	avg_pident_%	max_pident_%	avg_query_coverage_%	avg_bitscore	min_evalue
2069367	Achromobacter veterisilvae	S	13	0	0.0	0.0	0.0	0.0	0.0	N/A
2739063	Thiomicrorhabdus xiamenensis	S	8	0	0.0	0.0	0.0	0.0	0.0	N/A
2593676	unclassified Streptomyces	G1	60	0	0.0	0.0	0.0	0.0	0.0	N/A
2921361	Paenibacillus sp. FSL E2-0178	S	18	0	0.0	0.0	0.0	0.0	0.0	N/A
45972	Staphylococcus pasteuri	S	24	0	0.0	0.0	0.0	0.0	0.0	N/A
164759	Diaphorobacter nitroreducens	S	16	0	0.0	0.0	0.0	0.0	0.0	N/A
924	Thiobacillus sp.	S	3	0	0.0	0.0	0.0	0.0	0.0	N/A
584609	Tenacibaculum jejuense	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
199591	Brevibacterium luteolum	S	11	0	0.0	0.0	0.0	0.0	0.0	N/A
1803177	Arcanobacterium wilhelmae	S	6	0	0.0	0.0	0.0	0.0	0.0	N/A
2986923	Pararhizobium sp. BT-229	S	2	0	0.0	0.0	0.0	0.0	0.0	N/A
2841528	Eubacterium sp. MSJ-33	S	2	0	0.0	0.0	0.0	0.0	0.0	N/A
76731	Roseateles depolymerans	S	7	0	0.0	0.0	0.0	0.0	0.0	N/A
877500	Halarcobacter anaerophilus	S	2	0	0.0	0.0	0.0	0.0	0.0	N/A
1745854	Ancylobacter pratisalsi	S	5	0	0.0	0.0	0.0	0.0	0.0	N/A
959	Bdellovibrio bacteriovorus	S	2	0	0.0	0.0	0.0	0.0	0.0	N/A
2986949	Jiella pelagia	S	4	0	0.0	0.0	0.0	0.0	0.0	N/A
80840	Burkholderiales	O	74	0	0.0	0.0	0.0	0.0	0.0	N/A
2083786	Devosia sp. I507	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
3036127	Halomonas sp. CKK8	S	15	0	0.0	0.0	0.0	0.0	0.0	N/A
3036128	Diaphorobacter limosus	S	39	0	0.0	0.0	0.0	0.0	0.0	N/A
80864	Comamonadaceae	F	12	0	0.0	0.0	0.0	0.0	0.0	N/A
80865	Delftia	G	35	0	0.0	0.0	0.0	0.0	0.0	N/A
80878	Acidovorax temperans	S	456	0	0.0	0.0	0.0	0.0	0.0	N/A
2038776	Kaistella flava (ex Peng et al. 2021)	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
3030011	Paracoccus sp. S3-43	S	23	0	0.0	0.0	0.0	0.0	0.0	N/A
488447	Burkholderia contaminans	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
